painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_001,38.641155474391965,212.3696355939238,12047,2,113,97,330,0.0002600976174113531,0.7717171717171717,8518.2783203125,0.9040425002075205
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_002,38.775965880582035,212.5204883759826,11958,2,113,97,330,0.0002600976174113531,0.7717171717171717,8467.404296875,0.9061716006021073
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_003,38.85678391959799,212.91197654941374,11940,2,113,98,330,0.0005139185750202826,0.7717171717171717,8462.8984375,0.9073701842546064
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_004,188.65502313778177,166.30810568741603,6699,147,104,238,225,0.12560478298862798,0.7898989898989899,1486.83544921875,0.2219734288699806
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_005,214.4757017176372,260.53393380812736,4774,101,128,259,324,0.12560478298862798,0.7414141414141414,1679.6903076171875,0.2821533305404273
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_006,397.99448217317484,314.52886247877757,9424,347,99,466,483,0.24593583451003462,0.8,8884.0078125,0.9984083191850595
met_437638_The_Marriage_of_Cupid_and_Psyche,fig_007,548.8716359024941,140.41496406932507,7097,500,62,595,198,0.2961945191120437,0.8747474747474747,2571.01171875,0.020994786529519516
