painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_470921_Panel_with_the_Angel_Appearing_to_Zacharias_from_a_Retable_depicting_Saint_John_the_Baptis,fig_001,69.03270382312299,281.31229847996315,2171,57,239,87,340,0.0648007524265671,0.6169871794871795,1411.2158203125,0.6655918931368033
met_470921_Panel_with_the_Angel_Appearing_to_Zacharias_from_a_Retable_depicting_Saint_John_the_Baptis,fig_002,99.11162709191274,443.2540085866994,22826,57,274,156,586,0.09661027738665065,0.5608974358974359,21314.76171875,0.9646017699115044
met_470921_Panel_with_the_Angel_Appearing_to_Zacharias_from_a_Retable_depicting_Saint_John_the_Baptis,fig_003,119.03231763619576,270.79362880886424,2166,93,237,138,323,0.0648007524265671,0.6201923076923077,1987.051025390625,0.9990766389658357
met_470921_Panel_with_the_Angel_Appearing_to_Zacharias_from_a_Retable_depicting_Saint_John_the_Baptis,fig_004,164.5609718826406,404.2790342298288,13088,124,260,193,555,0.06896541599977968,0.5833333333333333,5642.015625,0.5255959657701712
met_470921_Panel_with_the_Angel_Appearing_to_Zacharias_from_a_Retable_depicting_Saint_John_the_Baptis,fig_005,199.59931584948689,362.6946408209806,4385,160,239,222,507,0.06896541599977968,0.6169871794871795,1932.196044921875,0.4709236031927024
met_470921_Panel_with_the_Angel_Appearing_to_Zacharias_from_a_Retable_depicting_Saint_John_the_Baptis,fig_006,301.34770252961897,433.10810918988153,24984,231,262,372,575,0.15693086784072016,0.5801282051282051,17234.73828125,0.7730947806596221
