painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_437368_Holy_Family_with_an_Angel,fig_001,36.314201183431955,341.38994082840236,13520,6,225,93,497,0.12140237388153625,0.6394230769230769,2968.298095703125,0.12063609467455622
met_437368_Holy_Family_with_an_Angel,fig_002,126.87434994128502,359.4617793435106,17883,68,236,228,535,0.12140237388153625,0.6217948717948718,11882.3173828125,0.8438740703461388
met_437368_Holy_Family_with_an_Angel,fig_003,229.14535168362073,427.14623293260075,91915,39,109,407,615,0.16122863184149439,0.8253205128205128,45570.36328125,0.43477125605178696
met_437368_Holy_Family_with_an_Angel,fig_004,375.7535231660232,320.70004826254825,20720,300,197,425,456,0.23818318495917154,0.6842948717948718,112.88236236572266,0.0
