painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
147838_Return_to_Nazareth,fig_001,599.0123114009599,1820.4981971789337,1068603,216,741,1018,3148,0.1773500553216063,0.7820588235294118,1048716.75,0.9986561894361142
147838_Return_to_Nazareth,fig_002,1156.8112549400391,2303.6918281392054,161689,828,1511,1718,3078,0.1773500553216063,0.5555882352941177,155347.21875,0.9983486817285034
147838_Return_to_Nazareth,fig_003,1503.8120606060606,427.2213737373737,99000,1188,179,1705,637,0.10885400020692916,0.9473529411764706,27170.83203125,0.0
147838_Return_to_Nazareth,fig_004,1852.6062829936616,2002.6934973428515,1359352,1359,925,2333,3270,0.18218744089235486,0.7279411764705883,226900.5,0.042578375578952325
147838_Return_to_Nazareth,fig_005,1956.1454868329868,403.4382651882652,207792,1541,142,2383,582,0.10885400020692916,0.9582352941176471,45959.54296875,0.0
