painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_435832_Florentine_Poet,fig_001,165.8562767281979,218.24506035836086,18473,103,102,267,323,0.2589824954451868,0.7158774373259054,17600.8125,0.9645969793753045
met_435832_Florentine_Poet,fig_002,301.98483017854744,72.44462343938784,7449,184,33,455,93,0.24625687701664056,0.9080779944289694,7.380392551422119,0.0
met_435832_Florentine_Poet,fig_003,344.987478956229,243.1807133838384,19008,269,114,412,330,0.1209030676385336,0.6824512534818942,18428.921875,0.9865845959595959
met_435832_Florentine_Poet,fig_004,427.99177360974005,227.72096084238237,3039,318,114,487,300,0.0962239559745372,0.6824512534818942,2462.7412109375,0.813754524514643
met_435832_Florentine_Poet,fig_005,447.8556024378809,163.5267229254571,4266,408,96,491,233,0.0962239559745372,0.7325905292479109,744.3490600585938,0.005860290670417253
