painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
met_436565_Totila_before_Saint_Benedict,fig_001,71.20672601384767,334.4284409952066,13143,33,203,136,479,0.0801633662060763,0.6140684410646388,12609.97265625,0.9920109564026478
met_436565_Totila_before_Saint_Benedict,fig_002,82.25431711145997,202.7370486656201,1274,69,173,95,239,0.06666126002701588,0.6711026615969582,1139.36474609375,1.0
met_436565_Totila_before_Saint_Benedict,fig_003,130.53333788768958,310.6790545156442,14638,77,189,175,461,0.0801633662060763,0.6406844106463878,8917.8671875,0.7216149747233228
met_436565_Totila_before_Saint_Benedict,fig_004,131.11949685534591,181.85455974842768,1272,113,156,148,214,0.06666126002701588,0.7034220532319392,908.1058959960938,0.9213836477987422
met_436565_Totila_before_Saint_Benedict,fig_005,175.8826530612245,244.06741982507288,5488,137,172,209,370,0.09614433745360447,0.6730038022813688,3724.517578125,0.8713556851311953
met_436565_Totila_before_Saint_Benedict,fig_006,229.04350536025927,352.67807279980053,16044,149,235,290,438,0.1343374668545582,0.5532319391634981,15455.7734375,0.9915233108950386
met_436565_Totila_before_Saint_Benedict,fig_007,396.12826282628265,219.52490249024902,6666,352,152,436,273,0.08111143577740486,0.7110266159695817,6582.03564453125,0.9968496849684968
met_436565_Totila_before_Saint_Benedict,fig_008,432.53085210577865,166.0861900097943,1021,418,147,450,191,0.08111143577740486,0.720532319391635,861.1568603515625,0.9441723800195886
met_436565_Totila_before_Saint_Benedict,fig_009,436.9951983388848,323.5761993338236,23117,357,188,504,431,0.12606606715585475,0.6425855513307985,22904.18359375,0.9985292209196696
met_436565_Totila_before_Saint_Benedict,fig_010,506.1661370857921,194.41488878801633,2203,488,157,526,240,0.098971068894316,0.7015209125475286,127.14509582519531,0.04857013163867453
met_436565_Totila_before_Saint_Benedict,fig_011,537.046520719312,314.13434975241074,15348,496,151,565,451,0.12606606715585475,0.7129277566539924,879.5922241210938,0.0007167057597081053
