painting_id,figure_id,centroid_x,centroid_y,mask_area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iso_nearest_centroid_norm,elev_bbox_top,sal_sum,sal_high_coverage_50
148301_The_Birth_and_Naming_of_John_the_Baptist,fig_001,338.2899234680982,2660.361578356738,494565,0,1925,800,3284,0.14935566451167534,0.4338235294117647,69172.4609375,0.0002871210053279144
148301_The_Birth_and_Naming_of_John_the_Baptist,fig_002,690.2827343434103,1659.211188545061,42043,524,1525,813,1785,0.19460641907940834,0.5514705882352942,3228.24755859375,0.0
148301_The_Birth_and_Naming_of_John_the_Baptist,fig_003,853.2720234375,2395.77996875,128000,641,1981,1110,2794,0.10298597422577555,0.4173529411764706,121076.0,0.9720078125
148301_The_Birth_and_Naming_of_John_the_Baptist,fig_004,1115.671423611679,2696.653779108341,550143,638,1983,1583,3160,0.10298597422577555,0.4167647058823529,443812.40625,0.9450470150488146
148301_The_Birth_and_Naming_of_John_the_Baptist,fig_005,1658.4214751730665,2056.7126716137923,301185,1455,1410,1861,2539,0.21646170943104326,0.5852941176470587,67.07843017578125,0.0
