Technique,usable_paintings,P@1,P@3,R@1,R@3,MRR,Hit@3
Full composite,204,0.5686274509803921,0.3627450980392157,0.41135620915032683,0.7483660130718955,0.7278151947053331,0.8725490196078431
Salience baseline,204,0.4019607843137255,0.3333333333333333,0.28799019607843135,0.6740196078431373,0.6142734570127121,0.7892156862745098
Random baseline,204,0.2688627450980392,0.2684950980392157,0.19364583333333332,0.5501629901960784,0.5002730914621657,0.6649362745098039
