Technique,usable_paintings,P@1,P@3,R@1,R@3,MRR,Hit@3
Salience only,204,0.5147058823529411,0.369281045751634,0.3602941176470588,0.7565359477124184,0.6959674312615488,0.8823529411764706
Isolation only,204,0.27941176470588236,0.27777777777777773,0.20383986928104578,0.573937908496732,0.5402558486897914,0.6862745098039216
Elevation only,204,0.37254901960784315,0.2696078431372549,0.2818627450980392,0.5551470588235294,0.5666489904546967,0.6813725490196079
Salience + Isolation,204,0.45588235294117646,0.3496732026143791,0.32802287581699346,0.7279411764705882,0.6790167621049974,0.8627450980392157
Salience + Elevation,204,0.5196078431372549,0.3529411764705883,0.3709150326797386,0.7230392156862745,0.7077346624924481,0.8529411764705882
Isolation + Elevation,204,0.36764705882352944,0.3006535947712418,0.2871732026143791,0.6343954248366013,0.591656613605788,0.7647058823529411
Full composite (S+I+E),204,0.5686274509803921,0.3627450980392157,0.41135620915032683,0.7483660130718955,0.7278151947053331,0.8725490196078431
